"What is this Table?
This table lists the Housing Preservation Departments (HPD) unique Complaint types, complaint details and the location types present in the 311 Data on the Open Data Portal.
This HPD table is separated from other agency complaint details because HPD complaints correlate to feild that indicates which Buidling Management Program (BMP) the complaint type is associated with.

How you can use this table
• You can use this table to help you identify new types of complaints that are captured by 311.
• Use this table to get a sense of what services a Agency is responsible for.

Notes:
• ""BMP"" - Building Management Program.
•  ""DPM"", ""DAMP"" - Building Types managed by HPD under BMP programs. This information is used by 311 to determine the types of complaints applicable to a particular address.
• ""Sec8"" - Section 8 housing, managed by HPD under BMP program.
• ""PVT"" - Privately-Owned buildings; complaints are accepted even though they are not managed by HPD.",,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Agency,Complaint Type,Descriptor,BMP,Public View,Additional_Details,Location_Type,Location_Details
Department of Housing Preservation and Development,Paint/Plaster,Window/Frame,PVT,Yes,Peeling or Flaking Paint,Apartment,Living Room
Department of Housing Preservation and Development,Paint/Plaster,Window/Frame,PVT,Yes,Peeling or Flaking Paint,Apartment,Entrance/Foyer
Department of Housing Preservation and Development,Paint/Plaster,Window/Frame,PVT,Yes,Peeling or Flaking Paint,Apartment,Entire Apartment
Department of Housing Preservation and Development,Paint/Plaster,Window/Frame,PVT,Yes,Peeling or Flaking Paint,Apartment,Bathroom
Department of Housing Preservation and Development,Paint/Plaster,Window/Frame,PVT,Yes,Peeling or Flaking Paint,Apartment,Bedroom
Department of Housing Preservation and Development,Paint/Plaster,Window/Frame,PVT,Yes,Peeling or Flaking Paint,Apartment,Other Room/Area
Department of Housing Preservation and Development,Paint/Plaster,Window/Frame,PVT,Yes,Peeling or Flaking Paint,Apartment,Private Hall
Department of Housing Preservation and Development,Plumbing,Basin/Sink,PVT,Yes,Basin Broken/Leaking,Apartment,Other Room/Area
Department of Housing Preservation and Development,Plumbing,Basin/Sink,PVT,Yes,Basin Broken/Leaking,Apartment,Bathroom
Department of Housing Preservation and Development,Plumbing,Basin/Sink,PVT,Yes,Basin Broken/Leaking,Apartment,Kitchen
Department of Housing Preservation and Development,Plumbing,Basin/Sink,PVT,Yes,Basin Chipped or Rusted,Apartment,Kitchen
Department of Housing Preservation and Development,Plumbing,Basin/Sink,PVT,Yes,Basin Chipped or Rusted,Apartment,Bathroom
Department of Housing Preservation and Development,Plumbing,Basin/Sink,PVT,Yes,Basin Chipped or Rusted,Apartment,Other Room/Area
Department of Housing Preservation and Development,Plumbing,Basin/Sink,PVT,Yes,Basin Missing,Apartment,Other Room/Area
Department of Housing Preservation and Development,Plumbing,Basin/Sink,PVT,Yes,Basin Missing,Apartment,Bathroom
Department of Housing Preservation and Development,Plumbing,Basin/Sink,PVT,Yes,Basin Missing,Apartment,Kitchen
Department of Housing Preservation and Development,Plumbing,Basin/Sink,PVT,Yes,Drain Pipe Blocked or Broken,Apartment,Kitchen
Department of Housing Preservation and Development,Plumbing,Basin/Sink,PVT,Yes,Drain Pipe Blocked or Broken,Apartment,Bathroom
Department of Housing Preservation and Development,Plumbing,Basin/Sink,PVT,Yes,Drain Pipe Blocked or Broken,Apartment,Other Room/Area
Department of Housing Preservation and Development,Plumbing,Basin/Sink,PVT,Yes,Faucet Broken/Missing/Leaking,Apartment,Other Room/Area
Department of Housing Preservation and Development,Plumbing,Basin/Sink,PVT,Yes,Faucet Broken/Missing/Leaking,Apartment,Bathroom
Department of Housing Preservation and Development,Plumbing,Basin/Sink,PVT,Yes,Faucet Broken/Missing/Leaking,Apartment,Kitchen
Department of Housing Preservation and Development,Plumbing,Basin/Sink,PVT,Yes,No Water,Apartment,Kitchen
Department of Housing Preservation and Development,Plumbing,Basin/Sink,PVT,Yes,No Water,Apartment,Bathroom
Department of Housing Preservation and Development,Plumbing,Basin/Sink,PVT,Yes,No Water,Apartment,Other Room/Area
Department of Housing Preservation and Development,Plumbing,Basin/Sink,PVT,Yes,Pipe Leaking,Apartment,Other Room/Area
Department of Housing Preservation and Development,Plumbing,Basin/Sink,PVT,Yes,Pipe Leaking,Apartment,Bathroom
Department of Housing Preservation and Development,Plumbing,Basin/Sink,PVT,Yes,Pipe Leaking,Apartment,Kitchen
Department of Housing Preservation and Development,Plumbing,Basin/Sink,PVT,Yes,Sink Detached from Wall,Apartment,Kitchen
Department of Housing Preservation and Development,Plumbing,Basin/Sink,PVT,Yes,Sink Detached from Wall,Apartment,Bathroom
Department of Housing Preservation and Development,Plumbing,Basin/Sink,PVT,Yes,Sink Detached from Wall,Apartment,Other Room/Area
Department of Housing Preservation and Development,Plumbing,Bathtub/Shower,PVT,Yes,Broken or Missing,Apartment,Other Room/Area
Department of Housing Preservation and Development,Plumbing,Bathtub/Shower,PVT,Yes,Broken or Missing,Apartment,Bathroom
Department of Housing Preservation and Development,Plumbing,Bathtub/Shower,PVT,Yes,Chipped or Rusted,Apartment,Bathroom
Department of Housing Preservation and Development,Plumbing,Bathtub/Shower,PVT,Yes,Chipped or Rusted,Apartment,Other Room/Area
Department of Housing Preservation and Development,Plumbing,Bathtub/Shower,PVT,Yes,Faucet Broken/Missing/Leaking,Apartment,Other Room/Area
Department of Housing Preservation and Development,Plumbing,Bathtub/Shower,PVT,Yes,Faucet Broken/Missing/Leaking,Apartment,Bathroom
Department of Housing Preservation and Development,Plumbing,Bathtub/Shower,PVT,Yes,Leaking into Other Apartment,Apartment,Bathroom
Department of Housing Preservation and Development,Plumbing,Bathtub/Shower,PVT,Yes,Leaking into Other Apartment,Apartment,Other Room/Area
Department of Housing Preservation and Development,Plumbing,Bathtub/Shower,PVT,Yes,No Water,Apartment,Other Room/Area
Department of Housing Preservation and Development,Plumbing,Bathtub/Shower,PVT,Yes,No Water,Apartment,Bathroom
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Air Valve Broken or Missing,Apartment,Bedroom
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Air Valve Broken or Missing,Apartment,Bathroom
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Air Valve Broken or Missing,Apartment,Kitchen
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Air Valve Broken or Missing,Apartment,Living Room
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Air Valve Broken or Missing,Apartment,Entrance/Foyer
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Air Valve Broken or Missing,Apartment,Private Hall
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Air Valve Broken or Missing,Apartment,Other Room/Area
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Broken or Missing,Apartment,Other Room/Area
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Broken or Missing,Apartment,Private Hall
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Broken or Missing,Apartment,Entrance/Foyer
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Broken or Missing,Apartment,Living Room
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Broken or Missing,Apartment,Kitchen
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Broken or Missing,Apartment,Bathroom
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Broken or Missing,Apartment,Bedroom
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Cracked or Leaking,Apartment,Bathroom
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Cracked or Leaking,Apartment,Bedroom
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Cracked or Leaking,Apartment,Kitchen
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Cracked or Leaking,Apartment,Living Room
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Cracked or Leaking,Apartment,Entrance/Foyer
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Cracked or Leaking,Apartment,Private Hall
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Cracked or Leaking,Apartment,Other Room/Area
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Loose or Disconnected,Apartment,Other Room/Area
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Loose or Disconnected,Apartment,Private Hall
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Loose or Disconnected,Apartment,Entrance/Foyer
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Loose or Disconnected,Apartment,Living Room
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Loose or Disconnected,Apartment,Kitchen
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Loose or Disconnected,Apartment,Bedroom
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Loose or Disconnected,Apartment,Bathroom
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Missing or Removed,Apartment,Bathroom
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Missing or Removed,Apartment,Bedroom
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Missing or Removed,Apartment,Kitchen
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Missing or Removed,Apartment,Living Room
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Missing or Removed,Apartment,Entrance/Foyer
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Missing or Removed,Apartment,Entire Apartment
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Missing or Removed,Apartment,Private Hall
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Missing or Removed,Apartment,Other Room/Area
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Shut Off Valve Broken,Apartment,Other Room/Area
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Shut Off Valve Broken,Apartment,Private Hall
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Shut Off Valve Broken,Apartment,Entrance/Foyer
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Shut Off Valve Broken,Apartment,Living Room
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Shut Off Valve Broken,Apartment,Kitchen
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Shut Off Valve Broken,Apartment,Bedroom
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Shut Off Valve Broken,Apartment,Bathroom
Department of Housing Preservation and Development,Plumbing,Steam Pipe/Riser,PVT,Yes,Cracked or Broken,Apartment,Bathroom
Department of Housing Preservation and Development,Plumbing,Steam Pipe/Riser,PVT,Yes,Cracked or Broken,Apartment,Bedroom
Department of Housing Preservation and Development,Plumbing,Steam Pipe/Riser,PVT,Yes,Cracked or Broken,Apartment,Kitchen
Department of Housing Preservation and Development,Plumbing,Steam Pipe/Riser,PVT,Yes,Cracked or Broken,Apartment,Living Room
Department of Housing Preservation and Development,Plumbing,Steam Pipe/Riser,PVT,Yes,Cracked or Broken,Apartment,Entrance/Foyer
Department of Housing Preservation and Development,Plumbing,Steam Pipe/Riser,PVT,Yes,Cracked or Broken,Apartment,Private Hall
Department of Housing Preservation and Development,Plumbing,Steam Pipe/Riser,PVT,Yes,Cracked or Broken,Apartment,Other Room/Area
Department of Housing Preservation and Development,Plumbing,Steam Pipe/Riser,PVT,Yes,Leaking,Apartment,Other Room/Area
Department of Housing Preservation and Development,Plumbing,Steam Pipe/Riser,PVT,Yes,Leaking,Apartment,Private Hall
Department of Housing Preservation and Development,Plumbing,Steam Pipe/Riser,PVT,Yes,Leaking,Apartment,Entrance/Foyer
Department of Housing Preservation and Development,Plumbing,Steam Pipe/Riser,PVT,Yes,Leaking,Apartment,Entire Apartment
Department of Housing Preservation and Development,Plumbing,Steam Pipe/Riser,PVT,Yes,Leaking,Apartment,Living Room
Department of Housing Preservation and Development,Plumbing,Steam Pipe/Riser,PVT,Yes,Leaking,Apartment,Kitchen
Department of Housing Preservation and Development,Plumbing,Steam Pipe/Riser,PVT,Yes,Leaking,Apartment,Bedroom
Department of Housing Preservation and Development,Plumbing,Steam Pipe/Riser,PVT,Yes,Leaking,Apartment,Bathroom
Department of Housing Preservation and Development,Plumbing,Toilet,PVT,Yes,Bowl Cracked or Leaking,Apartment,Bathroom
Department of Housing Preservation and Development,Plumbing,Toilet,PVT,Yes,Bowl Cracked or Leaking,Apartment,Other Room/Area
Department of Housing Preservation and Development,Plumbing,Toilet,PVT,Yes,Bowl Loose or Wobbly,Apartment,Other Room/Area
Department of Housing Preservation and Development,Plumbing,Toilet,PVT,Yes,Bowl Loose or Wobbly,Apartment,Bathroom
Department of Housing Preservation and Development,Plumbing,Toilet,PVT,Yes,Bowl Removed or Missing,Apartment,Bathroom
Department of Housing Preservation and Development,Plumbing,Toilet,PVT,Yes,Bowl Removed or Missing,Apartment,Other Room/Area
Department of Housing Preservation and Development,Plumbing,Toilet,PVT,Yes,Bowl Stopped Up,Apartment,Other Room/Area
Department of Housing Preservation and Development,Plumbing,Toilet,PVT,Yes,Bowl Stopped Up,Apartment,Bathroom
Department of Housing Preservation and Development,Plumbing,Toilet,PVT,Yes,Continuously Runs,Apartment,Bathroom
Department of Housing Preservation and Development,Plumbing,Toilet,PVT,Yes,Continuously Runs,Apartment,Other Room/Area
Department of Housing Preservation and Development,Plumbing,Toilet,PVT,Yes,Disconnected,Apartment,Other Room/Area
Department of Housing Preservation and Development,Plumbing,Toilet,PVT,Yes,Disconnected,Apartment,Bathroom
Department of Housing Preservation and Development,Plumbing,Toilet,PVT,Yes,Flush Handle Broken or Missing,Apartment,Bathroom
Department of Housing Preservation and Development,Plumbing,Toilet,PVT,Yes,Flush Handle Broken or Missing,Apartment,Other Room/Area
Department of Housing Preservation and Development,Plumbing,Toilet,PVT,Yes,No Water,Apartment,Other Room/Area
Department of Housing Preservation and Development,Plumbing,Toilet,PVT,Yes,No Water,Apartment,Bathroom
Department of Housing Preservation and Development,Plumbing,Toilet,PVT,Yes,Tank Cracked or Leaking,Apartment,Bathroom
Department of Housing Preservation and Development,Plumbing,Toilet,PVT,Yes,Tank Cracked or Leaking,Apartment,Other Room/Area
Department of Housing Preservation and Development,Plumbing,Water Supply,PVT,Yes,Low Water Pressure,Apartment,Other Room/Area
Department of Housing Preservation and Development,Plumbing,Water Supply,PVT,Yes,Low Water Pressure,Apartment,Bathroom
Department of Housing Preservation and Development,Plumbing,Water Supply,PVT,Yes,Low Water Pressure,Apartment,Kitchen
Department of Housing Preservation and Development,Plumbing,Water Supply,PVT,Yes,No Cold Water,Apartment,Kitchen
Department of Housing Preservation and Development,Plumbing,Water Supply,PVT,Yes,No Cold Water,Apartment,Bathroom
Department of Housing Preservation and Development,Plumbing,Water Supply,PVT,Yes,No Hot Water,Apartment,Bathroom
Department of Housing Preservation and Development,Plumbing,Water Supply,PVT,Yes,No Hot Water,Apartment,Kitchen
Department of Housing Preservation and Development,Plumbing,Water Supply,PVT,Yes,No Hot Water,Apartment,Entire Apartment
Department of Housing Preservation and Development,Plumbing,Water Supply,PVT,Yes,No Hot Water,Apartment,Entire Building
Department of Housing Preservation and Development,Plumbing,Water Supply,PVT,Yes,No Water,Apartment,Entire Building
Department of Housing Preservation and Development,Plumbing,Water Supply,PVT,Yes,No Water,Apartment,Entire Apartment
Department of Housing Preservation and Development,Plumbing,Water Supply,PVT,Yes,No Water,Apartment,Kitchen
Department of Housing Preservation and Development,Plumbing,Water Supply,PVT,Yes,No Water,Apartment,Bathroom
Department of Housing Preservation and Development,Plumbing,Water Supply,PVT,Yes,Scalding Hot Water,Apartment,Bathroom
Department of Housing Preservation and Development,Plumbing,Water Supply,PVT,Yes,Scalding Hot Water,Apartment,Kitchen
Department of Housing Preservation and Development,Plumbing,Water Supply,Sec 8,Yes,No Hot Water,Building-Wide,Building-Wide
Department of Housing Preservation and Development,Plumbing,Water Supply,Sec 8,Yes,No Water,Building-Wide,Building-Wide
Department of Housing Preservation and Development,Plumbing,Water Supply,PVT,Yes,No Hot Water,Building-Wide,Building-Wide
Department of Housing Preservation and Development,Plumbing,Water Supply,PVT,Yes,No Water,Building-Wide,Building-Wide
Department of Housing Preservation and Development,Plumbing,Water Supply,DPM,Yes,No Hot Water,Building-Wide,Building-Wide
Department of Housing Preservation and Development,Plumbing,Water Supply,DPM,Yes,No Water,Building-Wide,Building-Wide
Department of Housing Preservation and Development,Plumbing,Water Supply,DAMP,Yes,No Hot Water,Building-Wide,Building-Wide
Department of Housing Preservation and Development,Plumbing,Water Supply,DAMP,Yes,No Water,Building-Wide,Building-Wide
Department of Housing Preservation and Development,Plumbing,Basin/Sink,Sec 8,Yes,Basin Broken/Leaking,Public Area,Bathroom
Department of Housing Preservation and Development,Plumbing,Basin/Sink,Sec 8,Yes,Basin Broken/Leaking,Public Area,Kitchen
Department of Housing Preservation and Development,Plumbing,Basin/Sink,Sec 8,Yes,Basin Chipped or Rusted,Public Area,Kitchen
Department of Housing Preservation and Development,Plumbing,Basin/Sink,Sec 8,Yes,Basin Chipped or Rusted,Public Area,Bathroom
Department of Housing Preservation and Development,Plumbing,Basin/Sink,Sec 8,Yes,Basin Chipped or Rusted,Public Area,Other Room/Area
Department of Housing Preservation and Development,Plumbing,Basin/Sink,Sec 8,Yes,Basin Missing,Public Area,Other Room/Area
Department of Housing Preservation and Development,Plumbing,Basin/Sink,Sec 8,Yes,Basin Missing,Public Area,Bathroom
Department of Housing Preservation and Development,Plumbing,Basin/Sink,Sec 8,Yes,Basin Missing,Public Area,Kitchen
Department of Housing Preservation and Development,Plumbing,Basin/Sink,Sec 8,Yes,Drain Pipe Blocked or Broken,Public Area,Kitchen
Department of Housing Preservation and Development,Plumbing,Basin/Sink,Sec 8,Yes,Drain Pipe Blocked or Broken,Public Area,Bathroom
Department of Housing Preservation and Development,Plumbing,Basin/Sink,Sec 8,Yes,Drain Pipe Blocked or Broken,Public Area,Other Room/Area
Department of Housing Preservation and Development,Plumbing,Basin/Sink,Sec 8,Yes,Faucet Broken/Missing/Leaking,Public Area,Other Room/Area
Department of Housing Preservation and Development,Plumbing,Basin/Sink,Sec 8,Yes,Faucet Broken/Missing/Leaking,Public Area,Bathroom
Department of Housing Preservation and Development,Plumbing,Basin/Sink,Sec 8,Yes,Faucet Broken/Missing/Leaking,Public Area,Kitchen
Department of Housing Preservation and Development,Plumbing,Basin/Sink,Sec 8,Yes,No Water,Public Area,Kitchen
Department of Housing Preservation and Development,Plumbing,Basin/Sink,Sec 8,Yes,No Water,Public Area,Bathroom
Department of Housing Preservation and Development,Plumbing,Basin/Sink,Sec 8,Yes,No Water,Public Area,Other Room/Area
Department of Housing Preservation and Development,Plumbing,Basin/Sink,Sec 8,Yes,Pipe Leaking,Public Area,Other Room/Area
Department of Housing Preservation and Development,Plumbing,Basin/Sink,Sec 8,Yes,Pipe Leaking,Public Area,Bathroom
Department of Housing Preservation and Development,Plumbing,Basin/Sink,Sec 8,Yes,Pipe Leaking,Public Area,Kitchen
Department of Housing Preservation and Development,Plumbing,Basin/Sink,Sec 8,Yes,Sink Detached from Wall,Public Area,Kitchen
Department of Housing Preservation and Development,Plumbing,Basin/Sink,Sec 8,Yes,Sink Detached from Wall,Public Area,Bathroom
Department of Housing Preservation and Development,Plumbing,Basin/Sink,Sec 8,Yes,Sink Detached from Wall,Public Area,Other Room/Area
Department of Housing Preservation and Development,Plumbing,Bathtub/Shower,Sec 8,Yes,Broken or Missing,Public Area,Other Room/Area
Department of Housing Preservation and Development,Plumbing,Bathtub/Shower,Sec 8,Yes,Broken or Missing,Public Area,Bathroom
Department of Housing Preservation and Development,Plumbing,Bathtub/Shower,Sec 8,Yes,Chipped or Rusted,Public Area,Bathroom
Department of Housing Preservation and Development,Plumbing,Bathtub/Shower,Sec 8,Yes,Faucet Broken/Missing/Leaking,Public Area,Bathroom
Department of Housing Preservation and Development,Plumbing,Bathtub/Shower,Sec 8,Yes,Faucet Broken/Missing/Leaking,Public Area,Other Room/Area
Department of Housing Preservation and Development,Plumbing,Bathtub/Shower,Sec 8,Yes,Leaking into Other Apartment,Public Area,Other Room/Area
Department of Housing Preservation and Development,Plumbing,Bathtub/Shower,Sec 8,Yes,Leaking into Other Apartment,Public Area,Bathroom
Department of Housing Preservation and Development,Plumbing,Bathtub/Shower,Sec 8,Yes,No Water,Public Area,Bathroom
Department of Housing Preservation and Development,Plumbing,Bathtub/Shower,Sec 8,Yes,No Water,Public Area,Other Room/Area
Department of Housing Preservation and Development,Plumbing,Boiler,Sec 8,Yes,Broken,Public Area,Boiler Room
Department of Housing Preservation and Development,Plumbing,Radiator,Sec 8,Yes,Air Valve Broken or Missing,Public Area,Cellar
Department of Housing Preservation and Development,Plumbing,Radiator,Sec 8,Yes,Air Valve Broken or Missing,Public Area,Bathroom
Department of Housing Preservation and Development,Plumbing,Radiator,Sec 8,Yes,Air Valve Broken or Missing,Public Area,Basement
Department of Housing Preservation and Development,Plumbing,Radiator,Sec 8,Yes,Air Valve Broken or Missing,Public Area,Kitchen
Department of Housing Preservation and Development,Plumbing,Radiator,Sec 8,Yes,Air Valve Broken or Missing,Public Area,Lobby
Department of Housing Preservation and Development,Plumbing,Radiator,Sec 8,Yes,Air Valve Broken or Missing,Public Area,Hallway
Department of Housing Preservation and Development,Plumbing,Radiator,Sec 8,Yes,Air Valve Broken or Missing,Public Area,Other Room/Area
Department of Housing Preservation and Development,Plumbing,Radiator,Sec 8,Yes,Air Valve Broken or Missing,Public Area,Stairs
Department of Housing Preservation and Development,Plumbing,Radiator,Sec 8,Yes,Air Valve Broken or Missing,Public Area,Storage Room
Department of Housing Preservation and Development,Plumbing,Radiator,Sec 8,Yes,Broken or Missing,Public Area,Storage Room
Department of Housing Preservation and Development,Plumbing,Radiator,Sec 8,Yes,Broken or Missing,Public Area,Stairs
Department of Housing Preservation and Development,Plumbing,Radiator,Sec 8,Yes,Broken or Missing,Public Area,Other Room/Area
Department of Housing Preservation and Development,Plumbing,Radiator,Sec 8,Yes,Broken or Missing,Public Area,Hallway
Department of Housing Preservation and Development,Plumbing,Radiator,Sec 8,Yes,Broken or Missing,Public Area,Lobby
Department of Housing Preservation and Development,Plumbing,Radiator,Sec 8,Yes,Broken or Missing,Public Area,Kitchen
Department of Housing Preservation and Development,Plumbing,Radiator,Sec 8,Yes,Broken or Missing,Public Area,Basement
Department of Housing Preservation and Development,Plumbing,Radiator,Sec 8,Yes,Broken or Missing,Public Area,Bathroom
Department of Housing Preservation and Development,Plumbing,Radiator,Sec 8,Yes,Broken or Missing,Public Area,Cellar
Department of Housing Preservation and Development,Plumbing,Radiator,Sec 8,Yes,Cracked or Leaking,Public Area,Cellar
Department of Housing Preservation and Development,Plumbing,Radiator,Sec 8,Yes,Cracked or Leaking,Public Area,Bathroom
Department of Housing Preservation and Development,Plumbing,Radiator,Sec 8,Yes,Cracked or Leaking,Public Area,Basement
Department of Housing Preservation and Development,Plumbing,Radiator,Sec 8,Yes,Cracked or Leaking,Public Area,Kitchen
Department of Housing Preservation and Development,Plumbing,Radiator,Sec 8,Yes,Cracked or Leaking,Public Area,Lobby
Department of Housing Preservation and Development,Plumbing,Radiator,Sec 8,Yes,Cracked or Leaking,Public Area,Hallway
Department of Housing Preservation and Development,Plumbing,Radiator,Sec 8,Yes,Cracked or Leaking,Public Area,Other Room/Area
Department of Housing Preservation and Development,Plumbing,Radiator,Sec 8,Yes,Cracked or Leaking,Public Area,Stairs
Department of Housing Preservation and Development,Plumbing,Radiator,Sec 8,Yes,Cracked or Leaking,Public Area,Storage Room
Department of Housing Preservation and Development,Plumbing,Radiator,Sec 8,Yes,Loose or Disconnected,Public Area,Storage Room
Department of Housing Preservation and Development,Plumbing,Radiator,Sec 8,Yes,Loose or Disconnected,Public Area,Stairs
Department of Housing Preservation and Development,Plumbing,Radiator,Sec 8,Yes,Loose or Disconnected,Public Area,Other Room/Area
Department of Housing Preservation and Development,Plumbing,Radiator,Sec 8,Yes,Loose or Disconnected,Public Area,Hallway
Department of Housing Preservation and Development,Plumbing,Radiator,Sec 8,Yes,Loose or Disconnected,Public Area,Lobby
Department of Housing Preservation and Development,Plumbing,Radiator,Sec 8,Yes,Loose or Disconnected,Public Area,Kitchen
Department of Housing Preservation and Development,Plumbing,Radiator,Sec 8,Yes,Loose or Disconnected,Public Area,Basement
Department of Housing Preservation and Development,Plumbing,Radiator,Sec 8,Yes,Loose or Disconnected,Public Area,Bathroom
Department of Housing Preservation and Development,Plumbing,Radiator,Sec 8,Yes,Loose or Disconnected,Public Area,Cellar
Department of Housing Preservation and Development,Plumbing,Radiator,Sec 8,Yes,Shut Off Valve Broken,Public Area,Cellar
Department of Housing Preservation and Development,Plumbing,Radiator,Sec 8,Yes,Shut Off Valve Broken,Public Area,Bathroom
Department of Housing Preservation and Development,Plumbing,Radiator,Sec 8,Yes,Shut Off Valve Broken,Public Area,Basement
Department of Housing Preservation and Development,Plumbing,Radiator,Sec 8,Yes,Shut Off Valve Broken,Public Area,Kitchen
Department of Housing Preservation and Development,Plumbing,Radiator,Sec 8,Yes,Shut Off Valve Broken,Public Area,Laundry Room
Department of Housing Preservation and Development,Plumbing,Radiator,Sec 8,Yes,Shut Off Valve Broken,Public Area,Lobby
Department of Housing Preservation and Development,Plumbing,Radiator,Sec 8,Yes,Shut Off Valve Broken,Public Area,Hallway
Department of Housing Preservation and Development,Plumbing,Radiator,Sec 8,Yes,Shut Off Valve Broken,Public Area,Other Room/Area
Department of Housing Preservation and Development,Plumbing,Radiator,Sec 8,Yes,Shut Off Valve Broken,Public Area,Stairs
Department of Housing Preservation and Development,Plumbing,Radiator,Sec 8,Yes,Shut Off Valve Broken,Public Area,Storage Room
Department of Housing Preservation and Development,Plumbing,Sewer,Sec 8,Yes,Broken or Blocked Drain,Public Area,Laundry Room
Department of Housing Preservation and Development,Plumbing,Sewer,Sec 8,Yes,Broken or Blocked Pipe,Public Area,Laundry Room
Department of Housing Preservation and Development,Plumbing,Sewer,Sec 8,Yes,Broken or Blocked Pipe,Public Area,Lobby
Department of Housing Preservation and Development,Plumbing,Sewer,Sec 8,Yes,Broken or Blocked Pipe,Public Area,Fire Exit/Passageway
Department of Housing Preservation and Development,Plumbing,Sewer,Sec 8,Yes,Broken or Blocked Pipe,Public Area,Basement
Department of Housing Preservation and Development,Plumbing,Sewer,Sec 8,Yes,Broken or Blocked Pipe,Public Area,Cellar
Department of Housing Preservation and Development,Plumbing,Sewer,Sec 8,Yes,Broken or Blocked Pipe,Public Area,Courtyard
Department of Housing Preservation and Development,Plumbing,Sewer,Sec 8,Yes,Broken or Blocked Pipe,Public Area,Boiler Room
Department of Housing Preservation and Development,Plumbing,Sewer,Sec 8,Yes,Broken or Blocked Pipe,Public Area,Building Entrance
Department of Housing Preservation and Development,Plumbing,Sewer,Sec 8,Yes,Broken or Blocked Pipe,Public Area,Storage Room
Department of Housing Preservation and Development,Plumbing,Sewer,Sec 8,Yes,Broken or Blocked Pipe,Public Area,Yard
Department of Housing Preservation and Development,Plumbing,Sewer,Sec 8,Yes,Broken or Blocked Pipe,Public Area,Other Room/Area
Department of Housing Preservation and Development,Plumbing,Sewer,Sec 8,Yes,Broken or Blocked Pipe,Public Area,Meter Room
Department of Housing Preservation and Development,Plumbing,Steam Pipe/Riser,Sec 8,Yes,Cracked or Broken,Public Area,Other Room/Area
Department of Housing Preservation and Development,Plumbing,Steam Pipe/Riser,Sec 8,Yes,Cracked or Broken,Public Area,Stairs
Department of Housing Preservation and Development,Plumbing,Steam Pipe/Riser,Sec 8,Yes,Cracked or Broken,Public Area,Storage Room
Department of Housing Preservation and Development,Plumbing,Steam Pipe/Riser,Sec 8,Yes,Cracked or Broken,Public Area,Cellar
