"What is this Table?
This table lists the Housing Preservation Departments (HPD) unique Complaint types, complaint details and the location types present in the 311 Data on the Open Data Portal.
This HPD table is separated from other agency complaint details because HPD complaints correlate to feild that indicates which Buidling Management Program (BMP) the complaint type is associated with.

How you can use this table
• You can use this table to help you identify new types of complaints that are captured by 311.
• Use this table to get a sense of what services a Agency is responsible for.

Notes:
• ""BMP"" - Building Management Program.
•  ""DPM"", ""DAMP"" - Building Types managed by HPD under BMP programs. This information is used by 311 to determine the types of complaints applicable to a particular address.
• ""Sec8"" - Section 8 housing, managed by HPD under BMP program.
• ""PVT"" - Privately-Owned buildings; complaints are accepted even though they are not managed by HPD.",,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Agency,Complaint Type,Descriptor,BMP,Public View,Additional_Details,Location_Type,Location_Details
Department of Housing Preservation and Development,Appliance,Refrigerator,Sec 8,Yes,Discarded with Door Intact,Public Area,Basement
Department of Housing Preservation and Development,Appliance,Refrigerator,Sec 8,Yes,Discarded with Door Intact,Public Area,Courtyard
Department of Housing Preservation and Development,Appliance,Refrigerator,Sec 8,Yes,Discarded with Door Intact,Public Area,Building Entrance
Department of Housing Preservation and Development,Appliance,Electric/Gas Range,PVT,Yes,Control Knob Broken or Missing,Apartment,Kitchen
Department of Housing Preservation and Development,Appliance,Electric/Gas Range,PVT,Yes,No Gas or Electricity,Apartment,Kitchen
Department of Housing Preservation and Development,Appliance,Electric/Gas Range,PVT,Yes,No Stove Knob Covers,Apartment,Kitchen
Department of Housing Preservation and Development,Appliance,Electric/Gas Range,PVT,Yes,Oven Door Missing or Broken,Apartment,Kitchen
Department of Housing Preservation and Development,Appliance,Electric/Gas Range,PVT,Yes,Pilot Light Out,Apartment,Kitchen
Department of Housing Preservation and Development,Appliance,Refrigerator,PVT,Yes,Broken Door Seal,Apartment,Kitchen
Department of Housing Preservation and Development,Door/Window,Door Frame,PVT,Yes,Frame Broken,Apartment,Kitchen
Department of Housing Preservation and Development,Door/Window,Door Frame,PVT,Yes,Frame Broken,Apartment,Living Room
Department of Housing Preservation and Development,Door/Window,Door Frame,PVT,Yes,Frame Broken,Apartment,Entire Apartment
Department of Housing Preservation and Development,Door/Window,Door Frame,PVT,Yes,Frame Broken,Apartment,Entrance/Foyer
Department of Housing Preservation and Development,Door/Window,Door Frame,PVT,Yes,Frame Broken,Apartment,Bathroom
Department of Housing Preservation and Development,Door/Window,Door Frame,PVT,Yes,Frame Broken,Apartment,Bedroom
Department of Housing Preservation and Development,Door/Window,Door Frame,PVT,Yes,Frame Broken,Apartment,Other Room/Area
Department of Housing Preservation and Development,Door/Window,Door Frame,PVT,Yes,Frame Broken,Apartment,Private Hall
